rt/ur/Depa,va/l /Arri,,,
1/7/2007,1/7/2007,,,
1/12/2007,1/12/2007,,,
1/16/2007,1/16/2007,,,
1/17/2007,1/17/2007,,,1/12/2007
1/20/2007,1/20/2007,,,1/16/2007
1/27/2007,1/27/2007,,,1/17/2007
1/27/2007,1/27/2007,,,1/20/2007
1/31/2007,2/1/2007,,,1/27/2007
2/12/2007,2/12/2007,,,1/27/2007
2/13/2007,2/13/2007,,,1/31/2007
2/15/2007,2/15/2007,,,2/12/2007
2/20/2007,2/20/2007,,,2/13/2007
2/20/2007,2/20/2007,,,2/15/2007
2/22/2007,2/23/2007,,,2/20/2007
2/27/2007,2/27/2007,,,
2/27/2007,2/27/2007,,,
3/2/2007,3/2/2007,,,
3/11/2007,3/11/2007,,,
3/16/2007,3/16/2007,,,
3/20/2007,3/20/2007,,,
3/20/2007,3/20/2007,,,
3/23/2007,3/24/2007,,,
4/2/2007,4/2/2007,,,
4/6/2007,4/6/2007,,,
4/10/2007,4/10/2007,,,
4/12/2007,4/13/2007,,,
4/18/2007,4/19/2007,,,
4/25/2007,4/26/2007,,,
5/1/2007,5/1/2007,,,
5/4/2007,5/4/2007,,,
5/8/2007,5/8/2007,,,
5/8/2007,5/8/2007,,,
5/10/2007,5/10/2007,,,
5/14/2007,5/14/2007,,,
5/15/2007,5/16/2007,,,
5/17/2007,5/17/2007,,,
5/18/2007,5/19/2007,,,
5/28/2007,5/28/2007,,,
6/1/2007,6/1/2007,,,
6/5/2007,6/5/2007,,,
6/8/2007,6/8/2007,,,
6/12/2007,6/12/2007,,,
6/19/2007,6/20/2007,,,
6/22/2007,6/23/2007,,,
6/23/2007,6/23/2007,,,
6/25/2007,6/25/2007,,,
6/26/2007,6/26/2007,,,
6/28/2007,6/28/2007,,,
7/2/2007,7/3/2007,,,
7/9/2007,7/9/2007,,,
7/12/2007,7/12/2007,,,
7/17/2007,7/17/2007,,,
7/20/2007,7/20/2007,,,
7/20/2007,7/20/2007,,,
7/21/2007,7/22/2007,,,
7/22/2007,7/22/2007,,,
7/22/2007,7/23/2007,,,
7/24/2007,7/25/2007,,,
7/27/2007,7/27/2007,,,
7/30/2007,7/30/2007,,,
7/31/2007,7/31/2007,,,
7/31/2007,7/31/2007,,,
8/4/2007,8/4/2007,,,
8/13/2007,8/13/2007,,,
8/16/2007,8/16/2007,,,
8/17/2007,8/17/2007,,,
8/21/2007,8/21/2007,,,
8/22/2007,8/22/2007,,,
8/27/2007,8/27/2007,,,
8/29/2007,8/29/2007,,,
8/30/2007,8/30/2007,,,
8/30/2007,8/30/2007,,,
9/2/2007,9/3/2007,,,
9/4/2007,9/4/2007,,,
9/4/2007,9/4/2007,,,
9/6/2007,9/6/2007,,,
9/7/2007,9/7/2007,,,
9/7/2007,9/7/2007,,,
9/8/2007,9/8/2007,,,
9/12/2007,9/12/2007,,,
9/12/2007,9/12/2007,,,
9/14/2007,9/14/2007,,,
9/18/2007,9/18/2007,,,
9/25/2007,9/26/2007,,,
9/30/2007,10/1/2007,,,
10/5/2007,10/5/2007,,,
10/12/2007,10/12/2007,,,
10/15/2007,10/15/2007,,,
10/18/2007,10/18/2007,,,
10/19/2007,10/19/2007,,,
10/24/2007,10/24/2007,,,
10/25/2007,10/26/2007,,,
10/26/2007,10/26/2007,,,
10/30/2007,10/30/2007,,,
11/2/2007,11/2/2007,,,
11/6/2007,11/6/2007,,,
11/8/2007,11/9/2007,,,
11/13/2007,11/13/2007,,,
11/13/2007,11/13/2007,,,
11/13/2007,11/14/2007,,,
11/15/2007,11/15/2007,,,
11/17/2007,11/17/2007,,,
11/17/2007,11/17/2007,,,
11/21/2007,11/21/2007,,,
11/26/2007,11/26/2007,,,
11/30/2007,11/30/2007,,,
12/4/2007,12/4/2007,,,
12/4/2007,12/4/2007,,,
12/8/2007,12/9/2007,,,
12/11/2007,12/12/2007,,,
12/13/2007,12/13/2007,,,
12/14/2007,12/14/2007,,,
12/14/2007,12/14/2007,,,
12/14/2007,12/14/2007,,,
12/14/2007,12/15/2007,,,
12/18/2007,12/18/2007,,,
12/19/2007,12/19/2007,,,
12/21/2007,12/21/2007,,,
1/6/2008,1/6/2008,,,
1/11/2008,1/12/2008,,,
1/17/2008,1/17/2008,,,
1/17/2008,1/17/2008,,,
1/17/2008,1/18/2008,,,
1/19/2008,1/19/2008,,,
1/26/2008,1/26/2008,,,
2/1/2008,2/1/2008,,,
2/5/2008,2/5/2008,,,
2/8/2008,2/8/2008,,,
2/13/2008,2/13/2008,,,
2/13/2008,2/13/2008,,,
2/16/2008,2/16/2008,,,
2/24/2008,2/24/2008,,,
2/27/2008,2/27/2008,,,
2/28/2008,2/28/2008,,,
3/1/2008,3/1/2008,,,
3/5/2008,3/5/2008,,,
3/6/2008,3/6/2008,,,
3/8/2008,3/8/2008,,,
3/8/2008,3/8/2008,,,
3/9/2008,3/9/2008,,,
3/9/2008,3/9/2008,,,
3/10/2008,3/10/2008,,,
3/12/2008,3/12/2008,,,
3/13/2008,3/13/2008,,,
3/13/2008,3/14/2008,,,
3/17/2008,3/17/2008,,,
3/21/2008,3/21/2008,,,
3/21/2008,3/21/2008,,,
3/24/2008,3/24/2008,,,
3/28/2008,3/29/2008,,,
4/1/2008,4/1/2008,,,
4/9/2008,4/10/2008,,,
4/15/2008,4/15/2008,,,
4/18/2008,4/18/2008,,,
4/18/2008,4/18/2008,,,
4/28/2008,4/28/2008,,,
4/29/2008,4/29/2008,,,
4/29/2008,4/29/2008,,,
5/3/2008,5/3/2008,,,
5/8/2008,5/8/2008,,,
5/12/2008,5/13/2008,,,
5/17/2008,5/17/2008,,,
5/23/2008,5/23/2008,,,
5/27/2008,5/27/2008,,,
5/29/2008,5/29/2008,,,
5/30/2008,5/30/2008,,,
5/31/2008,5/31/2008,,,
6/3/2008,6/3/2008,,,
6/3/2008,6/4/2008,,,
6/11/2008,6/11/2008,,,
6/11/2008,6/12/2008,,,
6/21/2008,6/21/2008,,,
6/22/2008,6/22/2008,,,
6/22/2008,6/22/2008,,,
6/24/2008,6/24/2008,,,
6/24/2008,6/25/2008,,,
6/29/2008,6/29/2008,,,
6/29/2008,6/30/2008,,,
7/2/2008,7/2/2008,,,
10/21/2008,10/21/2008,,,
11/20/2008,11/20/2008,,,
11/22/2008,11/22/2008,,,
11/22/2008,11/22/2008,,,
12/9/2008,12/9/2008,,,
1/29/2009,1/29/2009,,,
2/28/2009,2/28/2009,,,
3/7/2009,3/7/2009,,,
3/7/2009,3/7/2009,,,
5/7/2009,5/7/2009,,,
7/11/2009,7/11/2009,,,
7/14/2009,7/14/2009,,,
10/19/2009,10/19/2009,,,
11/30/2009,12/1/2009,,,
12/1/2009,12/1/2009,,,
1/1/1900,12/1/2009,,,
1/6/2010,1/6/2010,,,
1/7/2010,1/7/2010,,,
1/13/2010,1/13/2010,,,
1/14/2010,1/14/2010,,,
1/15/2010,1/15/2010,,,
1/15/2010,1/15/2010,,,
2/1/2010,2/1/2010,,,
2/2/2010,2/2/2010,,,
2/2/2010,2/2/2010,,,
2/3/2010,2/3/2010,,,
2/5/2010,2/5/2010,,,
2/5/2010,2/5/2010,,,
2/16/2010,2/16/2010,,,
2/16/2010,2/16/2010,,,
2/18/2010,2/18/2010,,,
2/20/2010,2/20/2010,,,
2/23/2010,2/23/2010,,,
2/25/2010,2/25/2010,,,
2/27/2010,2/27/2010,,,
3/2/2010,3/2/2010,,,
3/4/2010,3/4/2010,,,
3/5/2010,3/5/2010,,,
3/5/2010,3/5/2010,,,
3/25/2010,3/25/2010,,,
3/26/2010,3/27/2010,,,
3/29/2010,3/29/2010,,,
3/29/2010,3/29/2010,,,
4/7/2010,4/7/2010,,,
4/8/2010,4/9/2010,,,
4/19/2010,4/19/2010,,,
4/20/2010,4/20/2010,,,
4/20/2010,4/21/2010,,,
4/29/2010,4/29/2010,,,
4/30/2010,5/1/2010,,,
5/6/2010,5/6/2010,,,
5/13/2010,5/13/2010,,,
5/13/2010,5/13/2010,,,
5/20/2010,5/20/2010,,,
5/22/2010,5/22/2010,,,
5/31/2010,5/31/2010,,,
5/31/2010,5/31/2010,,,
6/2/2010,6/2/2010,,,
6/4/2010,6/4/2010,,,
6/9/2010,6/9/2010,,,
6/9/2010,6/10/2010,,,
6/10/2010,6/10/2010,,,
6/11/2010,6/12/2010,,,
6/17/2010,6/17/2010,,,
6/18/2010,6/19/2010,,,
6/24/2010,6/24/2010,,,
6/24/2010,6/25/2010,,,
7/1/2010,7/1/2010,,,
7/2/2010,7/2/2010,,,
7/7/2010,7/7/2010,,,
7/8/2010,7/9/2010,,,
7/15/2010,7/15/2010,,,
7/16/2010,7/16/2010,,,
7/20/2010,7/20/2010,,,
7/25/2010,7/25/2010,,,
8/2/2010,8/2/2010,,,
8/2/2010,8/2/2010,,,
8/2/2010,8/3/2010,,,
8/8/2010,8/8/2010,,,
8/13/2010,8/14/2010,,,
8/18/2010,8/18/2010,,,
8/18/2010,8/19/2010,,,
8/25/2010,8/25/2010,,,
8/26/2010,8/26/2010,,,
8/30/2010,8/31/2010,,,
9/2/2010,9/3/2010,,,
9/12/2010,9/12/2010,,,
9/13/2010,9/13/2010,,,
9/19/2010,9/19/2010,,,
9/21/2010,9/21/2010,,,
9/27/2010,9/27/2010,,,
9/27/2010,9/27/2010,,,
9/29/2010,9/29/2010,,,
10/18/2010,10/18/2010,,,
10/19/2010,10/19/2010,,,
10/19/2010,10/19/2010,,,
10/24/2010,10/24/2010,,,
10/27/2010,10/27/2010,,,
10/29/2010,10/29/2010,,,
10/29/2010,10/29/2010,,,
11/30/2010,11/30/2010,,,
12/7/2010,12/7/2010,,,
12/13/2010,12/14/2010,,,
12/19/2010,12/20/2010,,,
12/30/2010,12/30/2010,,,
1/6/2011,1/7/2011,,,
1/17/2011,1/17/2011,,,
1/18/2011,1/19/2011,,,
2/6/2011,2/7/2011,,,
2/10/2011,2/10/2011,,,
2/13/2011,2/13/2011,,,
2/14/2011,2/14/2011,,,
2/16/2011,2/17/2011,,,
2/20/2011,2/21/2011,,,
2/26/2011,2/26/2011,,,
3/1/2011,3/1/2011,,,
3/4/2011,3/5/2011,,,
3/10/2011,3/10/2011,,,
3/26/2011,3/26/2011,,,
3/26/2011,3/26/2011,,,
3/27/2011,3/27/2011,,,
3/27/2011,3/27/2011,,,
3/27/2011,3/27/2011,,,
3/28/2011,3/28/2011,,,
3/29/2011,3/30/2011,,,
4/23/2011,4/23/2011,,,
4/26/2011,4/26/2011,,,
4/30/2011,4/30/2011,,,
5/14/2011,5/15/2011,,,
5/20/2011,5/20/2011,,,
5/22/2011,5/22/2011,,,
6/19/2011,6/20/2011,,,
6/26/2011,6/26/2011,,,
6/30/2011,7/1/2011,,,
7/4/2011,7/4/2011,,,
7/9/2011,7/9/2011,,,
7/9/2011,7/10/2011,,,
7/14/2011,7/14/2011,,,
7/16/2011,7/16/2011,,,
7/18/2011,7/18/2011,,,
7/19/2011,7/19/2011,,,
7/20/2011,7/21/2011,,,
7/28/2011,7/28/2011,,,
7/28/2011,7/28/2011,,,
7/29/2011,7/29/2011,,,
8/3/2011,8/3/2011,,,
8/27/2011,8/27/2011,,,
9/4/2011,9/5/2011,,,
9/9/2011,9/9/2011,,,
9/13/2011,9/14/2011,,,
9/17/2011,9/17/2011,,,
10/13/2011,10/13/2011,,,
10/19/2011,10/20/2011,,,
10/30/2011,10/30/2011,,,
11/2/2011,11/2/2011,,,
11/23/2011,11/23/2011,,,
12/1/2011,12/1/2011,,,
12/3/2011,12/3/2011,,,
12/11/2011,12/11/2011,,,
12/13/2011,12/13/2011,,,
12/18/2011,12/19/2011,,,
1/2/2012,1/2/2012,,,
1/8/2012,1/8/2012,,,
1/9/2012,1/9/2012,,,
1/18/2012,1/18/2012,,,
1/24/2012,1/24/2012,,,
1/25/2012,1/25/2012,,,
2/1/2012,2/1/2012,,,
2/2/2012,2/3/2012,,,
3/6/2012,3/6/2012,,,
3/16/2012,3/16/2012,,,
3/18/2012,3/18/2012,,,
3/19/2012,3/19/2012,,,
4/1/2012,4/1/2012,,,
4/11/2012,4/11/2012,,,
4/15/2012,4/15/2012,,,
4/16/2012,4/16/2012,,,
4/19/2012,4/19/2012,,,
5/3/2012,5/3/2012,,,
5/4/2012,5/4/2012,,,
6/3/2012,6/3/2012,,,
6/17/2012,6/17/2012,,,
7/8/2012,7/8/2012,,,
7/21/2012,7/21/2012,,,
7/26/2012,7/26/2012,,,
7/30/2012,7/30/2012,,,
7/30/2012,7/30/2012,,,
8/5/2012,8/5/2012,,,
8/7/2012,8/7/2012,,,
8/19/2012,8/19/2012,,,
8/22/2012,8/22/2012,,,
8/22/2012,8/23/2012,,,
8/26/2012,8/26/2012,,,
9/6/2012,9/6/2012,,,
9/13/2012,9/13/2012,,,
9/18/2012,9/18/2012,,,
9/20/2012,9/20/2012,,,
9/28/2012,9/28/2012,,,
10/1/2012,10/1/2012,,,
10/6/2012,10/6/2012,,,
10/28/2012,10/28/2012,,,
11/15/2012,11/16/2012,,,
11/21/2012,11/21/2012,,,
11/25/2012,11/26/2012,,,
11/26/2012,11/27/2012,,,
12/7/2012,12/7/2012,,,
12/8/2012,12/8/2012,,,
12/14/2012,12/14/2012,,,
1/10/2013,1/10/2013,,,
1/18/2013,1/18/2013,,,
1/21/2013,1/21/2013,,,
1/25/2013,1/25/2013,,,
1/27/2013,1/27/2013,,,
1/27/2013,1/28/2013,,,
2/7/2013,2/7/2013,,,
2/14/2013,2/14/2013,,,
2/16/2013,2/16/2013,,,
2/18/2013,2/18/2013,,,
2/22/2013,2/23/2013,,,
2/25/2013,2/25/2013,,,
2/27/2013,2/27/2013,,,
3/1/2013,3/1/2013,,,
3/3/2013,3/4/2013,,,
3/19/2013,3/19/2013,,,
3/22/2013,3/22/2013,,,
3/31/2013,3/31/2013,,,
3/31/2013,3/31/2013,,,
4/5/2013,4/5/2013,,,
4/21/2013,4/21/2013,,,
4/25/2013,4/25/2013,,,
4/25/2013,4/25/2013,,,
4/25/2013,4/25/2013,,,
4/29/2013,4/30/2013,,,
5/1/2013,5/1/2013,,,
5/6/2013,5/7/2013,,,
5/12/2013,5/12/2013,,,
5/15/2013,5/15/2013,,,
5/22/2013,5/22/2013,,,
5/24/2013,5/24/2013,,,
5/25/2013,5/25/2013,,,
6/3/2013,6/3/2013,,,
6/7/2013,6/7/2013,,,
6/15/2013,6/15/2013,,,
6/24/2013,6/24/2013,,,
6/28/2013,6/28/2013,,,
6/28/2013,6/29/2013,,,
7/17/2013,7/17/2013,,,
7/19/2013,7/19/2013,,,
7/19/2013,7/20/2013,,,
7/20/2013,7/20/2013,,,
7/25/2013,7/25/2013,,,
7/27/2013,7/27/2013,,,
8/1/2013,8/1/2013,,,
8/3/2013,8/3/2013,,,
8/4/2013,8/4/2013,,,
8/7/2013,8/7/2013,,,
8/7/2013,8/8/2013,,,
8/9/2013,8/9/2013,,,
8/21/2013,8/22/2013,,,
8/23/2013,8/24/2013,,,
9/4/2013,9/4/2013,,,
9/8/2013,9/8/2013,,,
9/8/2013,9/9/2013,,,
9/19/2013,9/19/2013,,,
9/19/2013,9/19/2013,,,
9/19/2013,9/19/2013,,,
9/19/2013,9/19/2013,,,
9/19/2013,9/19/2013,,,
9/27/2013,9/27/2013,,,
9/27/2013,9/28/2013,,,
9/30/2013,9/30/2013,,,
10/3/2013,10/3/2013,,,
10/3/2013,10/3/2013,,,
10/17/2013,10/17/2013,,,
10/17/2013,10/18/2013,,,
10/21/2013,10/21/2013,,,
10/25/2013,10/25/2013,,,
10/25/2013,10/26/2013,,,
11/2/2013,11/2/2013,,,
11/3/2013,11/3/2013,,,
11/5/2013,11/5/2013,,,
11/8/2013,11/9/2013,,,
11/8/2013,11/8/2013,,,
11/8/2013,11/8/2013,,,
11/15/2013,11/15/2013,,,
11/23/2013,11/23/2013,,,
11/24/2013,11/25/2013,,,
11/29/2013,11/30/2013,,,
12/1/2013,12/2/2013,,,
12/2/2013,12/2/2013,,,
12/3/2013,12/3/2013,,,
12/5/2013,12/5/2013,,,
12/6/2013,12/6/2013,,,
12/7/2013,12/7/2013,,,
12/11/2013,12/11/2013,,,
12/12/2013,12/12/2013,,,
12/14/2013,12/14/2013,,,
12/14/2013,12/14/2013,,,
12/15/2013,12/15/2013,,,
12/21/2013,12/21/2013,,,
12/21/2013,12/21/2013,,,
12/21/2013,12/21/2013,,,
12/23/2013,12/23/2013,,,
12/26/2013,12/26/2013,,,
12/27/2013,12/28/2013,,,
12/31/2013,12/31/2013,,,
1/1/2014,1/1/2014,,,
1/2/2014,1/3/2014,,,
1/7/2014,1/7/2014,,,
1/7/2014,1/7/2014,,,
1/11/2014,1/11/2014,,,
1/25/2014,1/25/2014,,,
1/26/2014,1/26/2014,,,
1/26/2014,1/26/2014,,,
1/26/2014,1/26/2014,,,
2/7/2014,2/7/2014,,,
2/12/2014,2/12/2014,,,
2/21/2014,2/21/2014,,,
2/22/2014,2/22/2014,,,
2/23/2014,2/23/2014,,,
3/1/2014,3/1/2014,,,
3/2/2014,3/3/2014,,,
